idx,word,label
0,戶,204
10000,灣,511
10001,普,45
10002,鳳,388
10003,琪,624
10004,琇,419
10005,芝,173
10006,瑜,639
10007,石,524
10008,杰,155
10009,氣,332
1000,克,578
10010,司,122
10011,喬,268
10012,興,371
10013,馬,712
10014,馨,620
10015,械,418
10016,彩,69
10017,文,116
10018,馮,191
10019,真,435
1001,育,301
10020,委,497
10021,員,449
10022,門,516
10023,名,1
10024,場,238
10025,曉,658
10026,峰,145
10027,客,415
10028,禮,373
10029,化,33
1002,涵,35
10030,灣,511
10031,歐,10
10032,勇,552
10033,昱,719
10034,振,109
10035,儀,305
10036,張,670
10037,涵,35
10038,興,371
10039,揚,538
1003,靜,678
10040,采,37
10041,程,389
10042,網,448
10043,戶,204
10044,店,43
10045,雯,722
10046,丞,152
10047,枝,591
10048,藥,75
10049,士,457
1004,城,162
10050,竹,92
10051,門,516
10052,宥,708
10053,柯,104
10054,大,119
10055,券,366
10056,顏,643
10057,寓,266
10058,俊,605
10059,慧,125
1005,音,222
10060,女,711
10061,營,276
10062,和,481
10063,室,534
10064,瑜,639
10065,土,760
10066,漁,39
10067,楊,2
10068,賴,164
10069,榮,211
1006,旅,721
10070,奕,158
10071,梅,151
10072,育,301
10073,孫,469
10074,遠,638
10075,香,544
10076,鈦,764
10077,薇,423
10078,密,63
10079,遠,638
1007,琦,218
10080,雨,243
10081,揚,538
10082,智,334
10083,客,415
10084,區,547
10085,橋,659
10086,樺,619
10087,股,557
10088,真,435
10089,旭,723
1008,晴,503
10090,瑋,72
10091,晟,82
10092,俊,605
10093,皇,128
10094,吉,70
10095,陳,717
10096,蓁,22
10097,易,585
10098,訊,657
10099,振,109
1009,方,187
100,平,406
10100,樹,193
10101,油,680
10102,神,444
10103,游,431
10104,倫,226
10105,琴,345
10106,里,339
10107,曹,170
10108,空,726
10109,告,349
1010,施,165
10110,堯,531
10111,貿,359
10112,鋒,630
10113,健,559
10114,瑜,639
10115,毅,677
10116,告,349
10117,租,282
10118,山,64
10119,婉,105
1011,儒,535
10120,亨,648
10121,羽,117
10122,好,61
10123,祐,160
10124,迪,446
10125,法,284
10126,業,793
10127,屋,549
10128,君,293
10129,三,573
1012,春,265
10130,灣,511
10131,盈,177
10132,鉅,545
10133,塑,404
10134,蕙,300
10135,鈞,387
10136,章,480
10137,銀,556
10138,勇,552
10139,自,169
1013,園,36
10140,鳳,388
10141,禮,373
10142,陳,717
10143,忠,263
10144,吉,70
10145,歐,10
10146,消,280
10147,賃,613
10148,健,559
10149,姜,684
1014,郁,602
10150,雪,485
10151,委,497
10152,琇,419
10153,運,399
10154,萱,257
10155,股,557
10156,冠,132
10157,場,238
10158,陽,597
10159,蔡,489
1015,輪,5
10160,護,98
10161,林,28
10162,康,569
10163,澤,87
10164,臺,355
10165,基,52
10166,玉,519
10167,員,449
10168,唐,651
10169,爾,143
1016,敬,102
10170,美,374
10171,宗,53
10172,護,98
10173,佩,113
10174,旅,721
10175,竑,403
10176,韋,325
10177,秋,558
10178,酒,590
10179,李,527
1017,洪,742
10180,百,148
10181,先,111
10182,媛,391
10183,實,575
10184,應,553
10185,城,162
10186,騰,171
10187,國,736
10188,岳,687
10189,菁,571
1018,忠,263
10190,北,539
10191,孫,469
10192,飲,710
10193,整,83
10194,瑛,741
10195,義,180
10196,能,67
10197,晟,82
10198,星,690
10199,陞,208
1019,電,343
